code,brands,product_name,pnns_groups_2,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruit_vege_nut_100g,nutriscore_grade,fit_nutri_grade,opt_el_tri_50_grade,pes_el_tri_50_grade
7613312015490,Migros,Chips Sour Cream & Onion,Appetizers,2209.0,2.5,2.5,1.4,4.0,3.5,0.0225360576923066,d,c,d,d
8480000651433,Hacendado,Caramelos jengibre & própolis 0% azúcares,Sweets,995.0,0.0,0.2,0.0,0.0,96.0,0.0,a,b,a,b
5310005002899,vitaminka,Atlantis Original,Sweets,2374.0,45.0,16.0,0.49,8.0,1.0,12.0,e,e,e,e
4260718292968,Koro,Snack-Erbsen ungarische Paprika,Vegetables,1702.0,7.9,1.0,1.0,14.0,8.7,62.0,a,a,b,b
7640101691078,"Bischofberger,Zweifel",,Biscuits and cakes,1670.0,37.0,1.0,0.01,9.0,4.0,8.52272727272727,c,c,c,d
8003170042803,Conad,Cracker con riso soffiato,Appetizers,1779.0,2.2,0.9,1.5,10.0,2.5,0.0,c,b,c,d
9310179169547,Golden Circle,Strawberry squeeze,Fruits,265.0,13.7,0.1,0.0,0.5,1.8,99.9,a,a,a,c
8423102210153,Anitin,Snack de Pan con pipas,Bread,2177.0,1.3,2.8,2.3,11.4,3.4,0.0,d,c,c,d
3222473260546,"Casino Délices, Casino, Délices",Petits Plaisirs saveur Cappuccino au chocolat noir suisse,Biscuits and cakes,2189.0,49.0,18.0,0.28,7.3,3.3,3.125,e,e,d,d
8710624347789,Gwoon,Suikervrije softgums,Sweets,917.0,0.3,0.0,0.12,0.4,0.0,0.0,b,c,e,e
3775000099954,So'Nigiri,Wok - Légumes japonais et lait de coco,Appetizers,614.0,7.3,0.8,0.53,2.8,1.4,16.1666666666667,b,c,d,d
3083681010923,Bonduelle,Coleslaw à la moutarde à l'ancienne,One-dish meals,518.0,5.5,0.8,0.6,1.0,2.5,81.2505722045898,a,a,b,b
