code,brands,product_name,pnns_groups_2,nutriscore_score,nutriscore_grade,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,url,image_url
3178530413199,St Michel,Doonuts Nappé Chocolat France,Biscuits and cakes,15.0,d,1861.0,31.0,4.4,0.39,5.6,1.0,22.0,http://world-fr.openfoodfacts.org/produit/3178530413199/doonuts-nappe-chocolat-france-st-michel,https://images.openfoodfacts.org/images/products/317/853/041/3199/front_fr.69.400.jpg
4316268631914,Clarkys,Light Riffelchips gesalzen,One-dish meals,8.0,c,2022.0,0.5,1.8,1.5,7.0,5.0,0.0,http://world-fr.openfoodfacts.org/produit/4316268631914/light-riffelchips-gesalzen-clarkys,https://images.openfoodfacts.org/images/products/431/626/863/1914/front_de.3.400.jpg
4316268635660,Clarkys,Scharfe Knabber-Nüsse mit Chili,Nuts,1.0,b,2514.0,4.4,7.0,0.7,26.0,9.4,95.2,http://world-fr.openfoodfacts.org/produit/4316268635660/scharfe-knabber-nusse-mit-chili-clarkys,https://images.openfoodfacts.org/images/products/431/626/863/5660/front_de.3.400.jpg
3770009601368,Matatie,Moelleux pépites chocolat Bio sans allergènes,Biscuits and cakes,2.0,b,497.0,8.0,1.3,0.14,0.8,1.2,0.0,http://world-fr.openfoodfacts.org/produit/3770009601368/moelleux-pepites-chocolat-bio-sans-allergenes-matatie,https://images.openfoodfacts.org/images/products/377/000/960/1368/front_fr.25.400.jpg
8410376033649,Gullón,Gullon Maria Doroda,Biscuits and cakes,0.0,b,1771.0,1.5,1.4,0.85,7.3,5.3,0.0,http://world-fr.openfoodfacts.org/produit/8410376033649/gullon-maria-doroda,https://images.openfoodfacts.org/images/products/841/037/603/3649/front_fr.31.400.jpg
3250391371952,Netto,Petit Beurre Complet / Riche en fibres / au blé complet,Biscuits and cakes,16.0,d,1878.0,16.7,9.4,1.11,9.1,6.7,0.0,http://world-fr.openfoodfacts.org/produit/3250391371952/petit-beurre-complet-riche-en-fibres-au-ble-complet-netto,https://images.openfoodfacts.org/images/products/325/039/137/1952/front_fr.9.400.jpg
3560070936106,"Simpl,Carrefour",Biscuit tablette,Biscuits and cakes,23.0,e,2057.0,34.0,12.0,0.49,6.6,2.6,0.0,http://world-fr.openfoodfacts.org/produit/3560070936106/biscuit-tablette-simpl,https://images.openfoodfacts.org/images/products/356/007/093/6106/front_fr.50.400.jpg
3564700582701,"Épi d'Or,Marque Repère, Epid'or",Petits pains grillés blé complet sans sucres ajoutés,Bread,0.0,b,1644.0,2.8,0.6,1.4,12.0,6.3,7.2,http://world-fr.openfoodfacts.org/produit/3564700582701/petits-pains-grilles-ble-complet-sans-sucres-ajoutes-epi-d-or,https://images.openfoodfacts.org/images/products/356/470/058/2701/front_fr.50.400.jpg
4008355032611,Wicklein,Glückstaler Klassik - mit extra viel Butter,Biscuits and cakes,20.0,e,2185.0,24.7,18.3,0.25,6.9,2.5,0.0,http://world-fr.openfoodfacts.org/produit/4008355032611/gluckstaler-klassik-mit-extra-viel-butter-wicklein,https://images.openfoodfacts.org/images/products/400/835/503/2611/front_de.6.400.jpg
3596710486984,Vendome,Les chocolats belges,Sweets,23.0,e,2171.0,48.0,17.0,0.16,6.2,3.6,3.3205047249794,http://world-fr.openfoodfacts.org/produit/3596710486984/les-chocolats-belges-vendome,https://images.openfoodfacts.org/images/products/359/671/048/6984/front_fr.21.400.jpg
7613331643094,coop,Crackers pomme épeautre,Appetizers,9.0,c,1760.0,19.0,1.2,1.0,12.0,6.0,28.5,http://world-fr.openfoodfacts.org/produit/7613331643094/crackers-pomme-epeautre-coop,https://images.openfoodfacts.org/images/products/761/333/164/3094/front_fr.19.400.jpg
7891962036915,Bauducco,Wafer Chocolate con Avellana,Biscuits and cakes,6.0,c,626.0,13.0,3.6,0.15,1.6,0.9,3.125,http://world-fr.openfoodfacts.org/produit/7891962036915/wafer-chocolate-con-avellana-bauducco,
4058400023088,Biscuiterie Charlotte,Marmor Butter Sterne,Biscuits and cakes,22.0,e,1939.0,28.5,15.0,0.85,6.8,2.0,0.0,http://world-fr.openfoodfacts.org/produit/4058400023088/marmor-butter-sterne-biscuiterie-charlotte,https://images.openfoodfacts.org/images/products/405/840/002/3088/front_de.4.400.jpg
7614800484040,Kambly,Orange intense 100g,Biscuits and cakes,23.0,e,2263.0,42.0,18.0,0.26,6.7,3.2,11.5,http://world-fr.openfoodfacts.org/produit/7614800484040/orange-intense-100g-kambly,https://images.openfoodfacts.org/images/products/761/480/048/4040/front_fr.63.400.jpg
4056114005130,Sommer,Dinkelsticks Gerösteter Sesam,Biscuits and cakes,-1.0,a,1685.0,2.1,0.9,0.95,12.0,6.5,0.0,http://world-fr.openfoodfacts.org/produit/4056114005130/dinkelsticks-gerosteter-sesam-sommer,https://images.openfoodfacts.org/images/products/405/611/400/5130/front_de.6.400.jpg
8421691791534,Alipende,Palmeritas,Biscuits and cakes,24.0,e,2084.0,32.0,13.0,0.762,5.0,2.0,0.0,http://world-fr.openfoodfacts.org/produit/8421691791534/palmeritas-alipende,https://images.openfoodfacts.org/images/products/842/169/179/1534/front_es.5.400.jpg
3168930008620,Lay's,Saveur Ch'ti sauce Pom'Frites,Appetizers,9.0,c,2204.0,1.8,2.7,1.3,6.1,4.2,10.25,http://world-fr.openfoodfacts.org/produit/3168930008620/saveur-ch-ti-sauce-pom-frites-lay-s,https://images.openfoodfacts.org/images/products/316/893/000/8620/front_fr.23.400.jpg
8480000111715,Hacendado,"Café molido, natural sabor fuerte",Sweets,-3.0,a,1299.0,1.3,4.2,0.02,17.0,50.0,0.0,http://world-fr.openfoodfacts.org/produit/8480000111715/cafe-molido-natural-sabor-fuerte-hacendado,https://images.openfoodfacts.org/images/products/848/000/011/1715/front_es.33.400.jpg
3325710007208,Sans marque,"4 Feuilletés Jambon Fromage, Surgelés",One-dish meals,12.0,d,296.0,3.4,9.2,1.2,6.4,2.3,0.0,http://world-fr.openfoodfacts.org/produit/3325710007208/4-feuilletes-jambon-fromage-surgeles-sans-marque,https://images.openfoodfacts.org/images/products/332/571/000/7208/front_fr.6.400.jpg
640522149100,The Rawlicious Food Company,"Cookies Noix de Coco, Dattes et Noix de Cajou",Biscuits and cakes,8.0,c,2450.0,23.4,33.2,0.32,9.7,9.4,96.0,http://world-fr.openfoodfacts.org/produit/0640522149100/cookies-noix-de-coco-dattes-et-noix-de-cajou-the-rawlicious-food-company,https://images.openfoodfacts.org/images/products/064/052/214/9100/front_fr.6.400.jpg
